"Country","Source","Occupation","Year","Value"
"Egypt","LFS - Labour Force Sample Survey","Skill levels 3 and 4 ~ high","2017","15.5"
"Egypt","LFS - Labour Force Sample Survey","Skill level 2 ~ medium","2017","24.7"
"Egypt","LFS - Labour Force Sample Survey","Skill level 1 ~ low","2017","18.7"
"Egypt","LFS - Labour Force Sample Survey","Skill levels 3 and 4 ~ high","2016","16.5"
"Egypt","LFS - Labour Force Sample Survey","Skill level 2 ~ medium","2016","10.6"
"Egypt","LFS - Labour Force Sample Survey","Skill level 1 ~ low","2016","35.4"
"Egypt","LFS - Labour Force Sample Survey","Skill levels 3 and 4 ~ high","2015","14.9"
"Egypt","LFS - Labour Force Sample Survey","Skill level 2 ~ medium","2015","17.7"
"Egypt","LFS - Labour Force Sample Survey","Skill level 1 ~ low","2015","33.1"
"Egypt","LFS - Labour Force Sample Survey","Skill levels 3 and 4 ~ high","2013","17.6"
"Egypt","LFS - Labour Force Sample Survey","Skill level 2 ~ medium","2013","19.2"
"Egypt","LFS - Labour Force Sample Survey","Skill level 1 ~ low","2013","30.9"
"Ethiopia","LFS - National Labor Force Survey","Skill levels 3 and 4 ~ high","2021","18.7"
"Ethiopia","LFS - National Labor Force Survey","Skill level 2 ~ medium","2021","38.1"
"Ethiopia","LFS - National Labor Force Survey","Skill level 1 ~ low","2021","22.4"
"Ethiopia","LFS - National Labor Force Survey","Skill levels 3 and 4 ~ high","2013","16.3"
"Ethiopia","LFS - National Labor Force Survey","Skill level 2 ~ medium","2013","33.6"
"Ethiopia","LFS - National Labor Force Survey","Skill level 1 ~ low","2013","23.6"
"France","LFS - Employment Survey","Skill levels 3 and 4 ~ high","2020","13.9"
"France","LFS - Employment Survey","Skill level 2 ~ medium","2020","6"
"France","LFS - Employment Survey","Skill level 1 ~ low","2020","4.1"
"France","LFS - Employment Survey","Skill levels 3 and 4 ~ high","2019","14.2"
"France","LFS - Employment Survey","Skill level 2 ~ medium","2019","8.5"
"France","LFS - Employment Survey","Skill level 1 ~ low","2019","7.4"
"France","LFS - Employment Survey","Skill levels 3 and 4 ~ high","2018","9.3"
"France","LFS - Employment Survey","Skill level 2 ~ medium","2018","8.9"
"France","LFS - Employment Survey","Skill level 1 ~ low","2018","10"
"France","LFS - Employment Survey","Skill levels 3 and 4 ~ high","2017","12.2"
"France","LFS - Employment Survey","Skill level 2 ~ medium","2017","8.5"
"France","LFS - Employment Survey","Skill level 1 ~ low","2017","6.8"
"France","LFS - Employment Survey","Skill levels 3 and 4 ~ high","2016","9.1"
"France","LFS - Employment Survey","Skill level 2 ~ medium","2016","8.6"
"France","LFS - Employment Survey","Skill level 1 ~ low","2016","3.5"
"France","LFS - Employment Survey","Skill levels 3 and 4 ~ high","2015","9.8"
"France","LFS - Employment Survey","Skill level 2 ~ medium","2015","7.8"
"France","LFS - Employment Survey","Skill level 1 ~ low","2015","6.8"
"France","LFS - Employment Survey","Skill levels 3 and 4 ~ high","2014","11.9"
"France","LFS - Employment Survey","Skill level 2 ~ medium","2014","6.6"
"France","LFS - Employment Survey","Skill level 1 ~ low","2014","4"
"France","LFS - Employment Survey","Skill levels 3 and 4 ~ high","2013","10.3"
"France","LFS - Employment Survey","Skill level 2 ~ medium","2013","10.1"
"France","LFS - Employment Survey","Skill level 1 ~ low","2013","4.3"
"Ghana","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2015","22.8"
"Ghana","LFS - Labour Force Survey","Skill level 2 ~ medium","2015","40.5"
"Ghana","LFS - Labour Force Survey","Skill level 1 ~ low","2015","36.7"
"Ghana","HIES - Living Standards Survey","Skill levels 3 and 4 ~ high","2017","29"
"Ghana","HIES - Living Standards Survey","Skill level 2 ~ medium","2017","43.2"
"Ghana","HIES - Living Standards Survey","Skill level 1 ~ low","2017","45.4"
"Ghana","HIES - Living Standards Survey","Skill levels 3 and 4 ~ high","2013","21.1"
"Ghana","HIES - Living Standards Survey","Skill level 2 ~ medium","2013","19.3"
"Ghana","HIES - Living Standards Survey","Skill level 1 ~ low","2013","27.6"
"Gambia","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2018","-0.3"
"Gambia","LFS - Labour Force Survey","Skill level 2 ~ medium","2018","-6.2"
"Gambia","LFS - Labour Force Survey","Skill level 1 ~ low","2018","0.8"
"Greece","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2020","8.3"
"Greece","LFS - Labour Force Survey","Skill level 2 ~ medium","2020","8.5"
"Greece","LFS - Labour Force Survey","Skill level 1 ~ low","2020","5.2"
"Greece","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2019","7.8"
"Greece","LFS - Labour Force Survey","Skill level 2 ~ medium","2019","8.8"
"Greece","LFS - Labour Force Survey","Skill level 1 ~ low","2019","10.5"
"Greece","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2018","7.6"
"Greece","LFS - Labour Force Survey","Skill level 2 ~ medium","2018","7.8"
"Greece","LFS - Labour Force Survey","Skill level 1 ~ low","2018","7.3"
"Greece","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2017","5.3"
"Greece","LFS - Labour Force Survey","Skill level 2 ~ medium","2017","6.5"
"Greece","LFS - Labour Force Survey","Skill level 1 ~ low","2017","8.3"
"Greece","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2016","5.9"
"Greece","LFS - Labour Force Survey","Skill level 2 ~ medium","2016","9.7"
"Greece","LFS - Labour Force Survey","Skill level 1 ~ low","2016","7.2"
"Greece","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2015","4.1"
"Greece","LFS - Labour Force Survey","Skill level 2 ~ medium","2015","10.3"
"Greece","LFS - Labour Force Survey","Skill level 1 ~ low","2015","9.2"
"Grenada","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2020","9.5"
"Grenada","LFS - Labour Force Survey","Skill level 2 ~ medium","2020","9.1"
"Grenada","LFS - Labour Force Survey","Skill level 1 ~ low","2020","11.5"
"Grenada","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2019","-0.2"
"Grenada","LFS - Labour Force Survey","Skill level 2 ~ medium","2019","9.5"
"Grenada","LFS - Labour Force Survey","Skill level 1 ~ low","2019","-12.5"
"Grenada","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2018","4"
"Grenada","LFS - Labour Force Survey","Skill level 2 ~ medium","2018","10.7"
"Grenada","LFS - Labour Force Survey","Skill level 1 ~ low","2018","-16"
"Guyana","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2019","7.2"
"Guyana","LFS - Labour Force Survey","Skill level 2 ~ medium","2019","10.9"
"Guyana","LFS - Labour Force Survey","Skill level 1 ~ low","2019","7.4"
"Guyana","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2018","15.3"
"Guyana","LFS - Labour Force Survey","Skill level 2 ~ medium","2018","15.5"
"Guyana","LFS - Labour Force Survey","Skill level 1 ~ low","2018","11.5"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill levels 3 and 4 ~ high","2022","-17"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill level 2 ~ medium","2022","4.7"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill level 1 ~ low","2022","-40.1"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill levels 3 and 4 ~ high","2021","-9.9"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill level 2 ~ medium","2021","1.2"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill level 1 ~ low","2021","-34.2"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill levels 3 and 4 ~ high","2020","-17.1"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill level 2 ~ medium","2020","-52.6"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill level 1 ~ low","2020","-53.6"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill levels 3 and 4 ~ high","2019","6.1"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill level 2 ~ medium","2019","3.5"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill level 1 ~ low","2019","-11.7"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill levels 3 and 4 ~ high","2018","8.8"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill level 2 ~ medium","2018","2"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill level 1 ~ low","2018","-8.3"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill levels 3 and 4 ~ high","2017","14"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill level 2 ~ medium","2017","2.7"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill level 1 ~ low","2017","-25.5"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill levels 3 and 4 ~ high","2016","8"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill level 2 ~ medium","2016","-2.3"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill level 1 ~ low","2016","-21.9"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill levels 3 and 4 ~ high","2015","-1.5"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill level 2 ~ medium","2015","-5.9"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill level 1 ~ low","2015","-10.1"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill levels 3 and 4 ~ high","2014","-6.6"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill level 2 ~ medium","2014","-3.5"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill level 1 ~ low","2014","5.8"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill levels 3 and 4 ~ high","2013","-12.8"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill level 2 ~ medium","2013","-3.1"
"Honduras","HS - Continous Multi-Purpose Household Survey","Skill level 1 ~ low","2013","-2.5"
"Indonesia","LFS - National Labour Force Survey","Skill levels 3 and 4 ~ high","2022","29.3"
"Indonesia","LFS - National Labour Force Survey","Skill level 2 ~ medium","2022","15.3"
"Indonesia","LFS - National Labour Force Survey","Skill level 1 ~ low","2022","26.9"
"Indonesia","LFS - National Labour Force Survey","Skill levels 3 and 4 ~ high","2021","17.9"
"Indonesia","LFS - National Labour Force Survey","Skill level 2 ~ medium","2021","8"
"Indonesia","LFS - National Labour Force Survey","Skill level 1 ~ low","2021","26.5"
"Indonesia","LFS - National Labour Force Survey","Skill levels 3 and 4 ~ high","2020","24"
"Indonesia","LFS - National Labour Force Survey","Skill level 2 ~ medium","2020","11.5"
"Indonesia","LFS - National Labour Force Survey","Skill level 1 ~ low","2020","26.2"
"Indonesia","LFS - National Labour Force Survey","Skill levels 3 and 4 ~ high","2019","29.4"
"Indonesia","LFS - National Labour Force Survey","Skill level 2 ~ medium","2019","14.5"
"Indonesia","LFS - National Labour Force Survey","Skill level 1 ~ low","2019","26.6"
"Indonesia","LFS - National Labour Force Survey","Skill levels 3 and 4 ~ high","2017","28.1"
"Indonesia","LFS - National Labour Force Survey","Skill level 2 ~ medium","2017","14.1"
"Indonesia","LFS - National Labour Force Survey","Skill level 1 ~ low","2017","26.9"
"Indonesia","LFS - National Labour Force Survey","Skill levels 3 and 4 ~ high","2016","26.6"
"Indonesia","LFS - National Labour Force Survey","Skill level 2 ~ medium","2016","11"
"Indonesia","LFS - National Labour Force Survey","Skill level 1 ~ low","2016","25.7"
"Indonesia","LFS - National Labour Force Survey","Skill levels 3 and 4 ~ high","2015","23.9"
"Indonesia","LFS - National Labour Force Survey","Skill level 2 ~ medium","2015","8.9"
"Indonesia","LFS - National Labour Force Survey","Skill level 1 ~ low","2015","28.6"
"Indonesia","LFS - National Labour Force Survey","Skill levels 3 and 4 ~ high","2014","28.4"
"Indonesia","LFS - National Labour Force Survey","Skill level 2 ~ medium","2014","15.6"
"Indonesia","LFS - National Labour Force Survey","Skill level 1 ~ low","2014","27.6"
"Indonesia","LFS - National Labour Force Survey","Skill levels 3 and 4 ~ high","2013","24.7"
"Indonesia","LFS - National Labour Force Survey","Skill level 2 ~ medium","2013","15.4"
"Indonesia","LFS - National Labour Force Survey","Skill level 1 ~ low","2013","28.4"
"India","LFS - Periodic Labour Force Survey","Skill levels 3 and 4 ~ high","2022","28.7"
"India","LFS - Periodic Labour Force Survey","Skill level 2 ~ medium","2022","23.6"
"India","LFS - Periodic Labour Force Survey","Skill level 1 ~ low","2022","28.4"
"India","LFS - Periodic Labour Force Survey","Skill levels 3 and 4 ~ high","2021","26.2"
"India","LFS - Periodic Labour Force Survey","Skill level 2 ~ medium","2021","23.8"
"India","LFS - Periodic Labour Force Survey","Skill level 1 ~ low","2021","28.3"
"India","LFS - Periodic Labour Force Survey","Skill levels 3 and 4 ~ high","2020","27.9"
"India","LFS - Periodic Labour Force Survey","Skill level 2 ~ medium","2020","24.6"
"India","LFS - Periodic Labour Force Survey","Skill level 1 ~ low","2020","27.9"
"India","LFS - Periodic Labour Force Survey","Skill levels 3 and 4 ~ high","2019","27.3"
"India","LFS - Periodic Labour Force Survey","Skill level 2 ~ medium","2019","26.2"
"India","LFS - Periodic Labour Force Survey","Skill level 1 ~ low","2019","30.3"
"India","LFS - Periodic Labour Force Survey","Skill levels 3 and 4 ~ high","2018","29.7"
"India","LFS - Periodic Labour Force Survey","Skill level 2 ~ medium","2018","28.5"
"India","LFS - Periodic Labour Force Survey","Skill level 1 ~ low","2018","33.3"
"Jamaica","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2014","11.1"
"Jamaica","LFS - Labour Force Survey","Skill level 2 ~ medium","2014","1.3"
"Jamaica","LFS - Labour Force Survey","Skill level 1 ~ low","2014","27.9"
"Jamaica","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2013","12.2"
"Jamaica","LFS - Labour Force Survey","Skill level 2 ~ medium","2013","2.6"
"Jamaica","LFS - Labour Force Survey","Skill level 1 ~ low","2013","10.9"
"Jordan","LFS - Employment and Unemployment Survey","Skill levels 3 and 4 ~ high","2021","4.7"
"Jordan","LFS - Employment and Unemployment Survey","Skill level 2 ~ medium","2021","-7.6"
"Jordan","LFS - Employment and Unemployment Survey","Skill level 1 ~ low","2021","28.9"
"Jordan","LFS - Employment and Unemployment Survey","Skill levels 3 and 4 ~ high","2020","-2.5"
"Jordan","LFS - Employment and Unemployment Survey","Skill level 2 ~ medium","2020","-11.2"
"Jordan","LFS - Employment and Unemployment Survey","Skill level 1 ~ low","2020","33.2"
"Jordan","LFS - Employment and Unemployment Survey","Skill levels 3 and 4 ~ high","2019","8.2"
"Jordan","LFS - Employment and Unemployment Survey","Skill level 2 ~ medium","2019","-4.7"
"Jordan","LFS - Employment and Unemployment Survey","Skill level 1 ~ low","2019","30.2"
"Jordan","LFS - Employment and Unemployment Survey","Skill levels 3 and 4 ~ high","2018","12"
"Jordan","LFS - Employment and Unemployment Survey","Skill level 2 ~ medium","2018","-1.9"
"Jordan","LFS - Employment and Unemployment Survey","Skill level 1 ~ low","2018","31.3"
"Jordan","LFS - Employment and Unemployment Survey","Skill levels 3 and 4 ~ high","2017","17.8"
"Jordan","LFS - Employment and Unemployment Survey","Skill level 2 ~ medium","2017","12"
"Jordan","LFS - Employment and Unemployment Survey","Skill level 1 ~ low","2017","39.7"
"Kenya","HIES - Household Budget Survey","Skill levels 3 and 4 ~ high","2019","32.8"
"Kenya","HIES - Household Budget Survey","Skill level 2 ~ medium","2019","-25.2"
"Kenya","HIES - Household Budget Survey","Skill level 1 ~ low","2019","13.5"
"Cambodia","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2019","-0.9"
"Cambodia","LFS - Labour Force Survey","Skill level 2 ~ medium","2019","13.9"
"Cambodia","LFS - Labour Force Survey","Skill level 1 ~ low","2019","7.5"
"Cambodia","HIES - Household Socio-Economic Survey","Skill levels 3 and 4 ~ high","2021","13.6"
"Cambodia","HIES - Household Socio-Economic Survey","Skill level 2 ~ medium","2021","11.6"
"Cambodia","HIES - Household Socio-Economic Survey","Skill level 1 ~ low","2021","9.4"
"Cambodia","HIES - Household Socio-Economic Survey","Skill levels 3 and 4 ~ high","2020","17.5"
"Cambodia","HIES - Household Socio-Economic Survey","Skill level 2 ~ medium","2020","12.2"
"Cambodia","HIES - Household Socio-Economic Survey","Skill level 1 ~ low","2020","19.4"
"Cambodia","HIES - Household Socio-Economic Survey","Skill levels 3 and 4 ~ high","2016","8.9"
"Cambodia","HIES - Household Socio-Economic Survey","Skill level 2 ~ medium","2016","15.7"
"Cambodia","HIES - Household Socio-Economic Survey","Skill level 1 ~ low","2016","16"
"Cambodia","HIES - Household Socio-Economic Survey","Skill levels 3 and 4 ~ high","2015","5"
"Cambodia","HIES - Household Socio-Economic Survey","Skill level 2 ~ medium","2015","16.5"
"Cambodia","HIES - Household Socio-Economic Survey","Skill level 1 ~ low","2015","9.9"
"Cambodia","HIES - Household Socio-Economic Survey","Skill levels 3 and 4 ~ high","2014","11.9"
"Cambodia","HIES - Household Socio-Economic Survey","Skill level 2 ~ medium","2014","18.2"
"Cambodia","HIES - Household Socio-Economic Survey","Skill level 1 ~ low","2014","19.1"
"Cambodia","HIES - Household Socio-Economic Survey","Skill levels 3 and 4 ~ high","2013","-15.6"
"Cambodia","HIES - Household Socio-Economic Survey","Skill level 2 ~ medium","2013","27.6"
"Cambodia","HIES - Household Socio-Economic Survey","Skill level 1 ~ low","2013","19.6"
"Lao People's Democratic Republic","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2022","19.3"
"Lao People's Democratic Republic","LFS - Labour Force Survey","Skill level 2 ~ medium","2022","15.9"
"Lao People's Democratic Republic","LFS - Labour Force Survey","Skill level 1 ~ low","2022","22"
"Lao People's Democratic Republic","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2017","13.5"
"Lao People's Democratic Republic","LFS - Labour Force Survey","Skill level 2 ~ medium","2017","-2.1"
"Lao People's Democratic Republic","LFS - Labour Force Survey","Skill level 1 ~ low","2017","19.7"
"Lebanon","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2019","11.6"
"Lebanon","LFS - Labour Force Survey","Skill level 2 ~ medium","2019","-15.3"
"Lebanon","LFS - Labour Force Survey","Skill level 1 ~ low","2019","-1.6"
"Liberia","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2017","-31.1"
"Liberia","LFS - Labour Force Survey","Skill level 2 ~ medium","2017","30.7"
"Liberia","LFS - Labour Force Survey","Skill level 1 ~ low","2017","-16.1"
"Sri Lanka","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2020","8.8"
"Sri Lanka","LFS - Labour Force Survey","Skill level 2 ~ medium","2020","15.2"
"Sri Lanka","LFS - Labour Force Survey","Skill level 1 ~ low","2020","34.9"
"Sri Lanka","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2019","16.1"
"Sri Lanka","LFS - Labour Force Survey","Skill level 2 ~ medium","2019","20.6"
"Sri Lanka","LFS - Labour Force Survey","Skill level 1 ~ low","2019","28.7"
"Sri Lanka","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2018","14.6"
"Sri Lanka","LFS - Labour Force Survey","Skill level 2 ~ medium","2018","23.1"
"Sri Lanka","LFS - Labour Force Survey","Skill level 1 ~ low","2018","32.9"
"Sri Lanka","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2017","-6.8"
"Sri Lanka","LFS - Labour Force Survey","Skill level 2 ~ medium","2017","-18.2"
"Sri Lanka","LFS - Labour Force Survey","Skill level 1 ~ low","2017","32.7"
"Sri Lanka","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2016","12.1"
"Sri Lanka","LFS - Labour Force Survey","Skill level 2 ~ medium","2016","23.9"
"Sri Lanka","LFS - Labour Force Survey","Skill level 1 ~ low","2016","30.3"
"Sri Lanka","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2015","5.6"
"Sri Lanka","LFS - Labour Force Survey","Skill level 2 ~ medium","2015","18.4"
"Sri Lanka","LFS - Labour Force Survey","Skill level 1 ~ low","2015","27"
"Sri Lanka","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2014","14.1"
"Sri Lanka","LFS - Labour Force Survey","Skill level 2 ~ medium","2014","17.8"
"Sri Lanka","LFS - Labour Force Survey","Skill level 1 ~ low","2014","26.2"
"Sri Lanka","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2013","15.5"
"Sri Lanka","LFS - Labour Force Survey","Skill level 2 ~ medium","2013","20.5"
"Sri Lanka","LFS - Labour Force Survey","Skill level 1 ~ low","2013","26.6"
"Lesotho","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2019","5"
"Lesotho","LFS - Labour Force Survey","Skill level 2 ~ medium","2019","37.1"
"Lesotho","LFS - Labour Force Survey","Skill level 1 ~ low","2019","11.5"
"Moldova, Republic of","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2022","18.2"
"Moldova, Republic of","LFS - Labour Force Survey","Skill level 2 ~ medium","2022","18.3"
"Moldova, Republic of","LFS - Labour Force Survey","Skill level 1 ~ low","2022","6.3"
"Moldova, Republic of","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2021","16.1"
"Moldova, Republic of","LFS - Labour Force Survey","Skill level 2 ~ medium","2021","18.3"
"Moldova, Republic of","LFS - Labour Force Survey","Skill level 1 ~ low","2021","1.5"
"Moldova, Republic of","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2020","14.1"
"Moldova, Republic of","LFS - Labour Force Survey","Skill level 2 ~ medium","2020","16.8"
"Moldova, Republic of","LFS - Labour Force Survey","Skill level 1 ~ low","2020","1"
"Moldova, Republic of","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2019","16.6"
"Moldova, Republic of","LFS - Labour Force Survey","Skill level 2 ~ medium","2019","18.7"
"Moldova, Republic of","LFS - Labour Force Survey","Skill level 1 ~ low","2019","4.9"
"Moldova, Republic of","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2018","11.4"
"Moldova, Republic of","LFS - Labour Force Survey","Skill level 2 ~ medium","2018","23.5"
"Moldova, Republic of","LFS - Labour Force Survey","Skill level 1 ~ low","2018","5.4"
"Moldova, Republic of","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2017","7.6"
"Moldova, Republic of","LFS - Labour Force Survey","Skill level 2 ~ medium","2017","21.5"
"Moldova, Republic of","LFS - Labour Force Survey","Skill level 1 ~ low","2017","-1.7"
"Moldova, Republic of","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2016","6.9"
"Moldova, Republic of","LFS - Labour Force Survey","Skill level 2 ~ medium","2016","21"
"Moldova, Republic of","LFS - Labour Force Survey","Skill level 1 ~ low","2016","-1.3"
"Moldova, Republic of","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2015","12.1"
"Moldova, Republic of","LFS - Labour Force Survey","Skill level 2 ~ medium","2015","24"
"Moldova, Republic of","LFS - Labour Force Survey","Skill level 1 ~ low","2015","6.2"
"Moldova, Republic of","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2014","9.6"
"Moldova, Republic of","LFS - Labour Force Survey","Skill level 2 ~ medium","2014","26.3"
"Moldova, Republic of","LFS - Labour Force Survey","Skill level 1 ~ low","2014","5.3"
"Moldova, Republic of","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2013","6.7"
"Moldova, Republic of","LFS - Labour Force Survey","Skill level 2 ~ medium","2013","26.2"
"Moldova, Republic of","LFS - Labour Force Survey","Skill level 1 ~ low","2013","2.7"
"Madagascar","LFS - National Survey on Employment and the Informal Sector","Skill levels 3 and 4 ~ high","2015","2.9"
"Madagascar","LFS - National Survey on Employment and the Informal Sector","Skill level 2 ~ medium","2015","-8.1"
"Madagascar","LFS - National Survey on Employment and the Informal Sector","Skill level 1 ~ low","2015","0"
"Maldives","HIES - Household Income and Expenditure Survey","Skill levels 3 and 4 ~ high","2019","9.5"
"Maldives","HIES - Household Income and Expenditure Survey","Skill level 2 ~ medium","2019","20.2"
"Maldives","HIES - Household Income and Expenditure Survey","Skill level 1 ~ low","2019","22"
"Maldives","HIES - Household Income and Expenditure Survey","Skill levels 3 and 4 ~ high","2016","27.6"
"Maldives","HIES - Household Income and Expenditure Survey","Skill level 2 ~ medium","2016","3"
"Maldives","HIES - Household Income and Expenditure Survey","Skill level 1 ~ low","2016","-14.3"
"Mexico","LFS - National Occupation and Employment Survey","Skill levels 3 and 4 ~ high","2022","7.5"
"Mexico","LFS - National Occupation and Employment Survey","Skill level 2 ~ medium","2022","7"
"Mexico","LFS - National Occupation and Employment Survey","Skill level 1 ~ low","2022","11.6"
"Mexico","LFS - National Occupation and Employment Survey","Skill levels 3 and 4 ~ high","2021","8.4"
"Mexico","LFS - National Occupation and Employment Survey","Skill level 2 ~ medium","2021","5.5"
"Mexico","LFS - National Occupation and Employment Survey","Skill level 1 ~ low","2021","8"
"Mexico","LFS - National Occupation and Employment Survey","Skill levels 3 and 4 ~ high","2020","4.6"
"Mexico","LFS - National Occupation and Employment Survey","Skill level 2 ~ medium","2020","4"
"Mexico","LFS - National Occupation and Employment Survey","Skill level 1 ~ low","2020","-3.3"
"Mexico","LFS - National Occupation and Employment Survey","Skill levels 3 and 4 ~ high","2019","9.8"
"Mexico","LFS - National Occupation and Employment Survey","Skill level 2 ~ medium","2019","8.8"
"Mexico","LFS - National Occupation and Employment Survey","Skill level 1 ~ low","2019","-11.6"
"Mexico","LFS - National Occupation and Employment Survey","Skill levels 3 and 4 ~ high","2018","8.1"
"Mexico","LFS - National Occupation and Employment Survey","Skill level 2 ~ medium","2018","9.6"
"Mexico","LFS - National Occupation and Employment Survey","Skill level 1 ~ low","2018","-11.3"
"Mexico","LFS - National Occupation and Employment Survey","Skill levels 3 and 4 ~ high","2017","7.9"
"Mexico","LFS - National Occupation and Employment Survey","Skill level 2 ~ medium","2017","8.4"
"Mexico","LFS - National Occupation and Employment Survey","Skill level 1 ~ low","2017","-12.7"
"Mexico","LFS - National Occupation and Employment Survey","Skill levels 3 and 4 ~ high","2016","8.2"
"Mexico","LFS - National Occupation and Employment Survey","Skill level 2 ~ medium","2016","8.9"
"Mexico","LFS - National Occupation and Employment Survey","Skill level 1 ~ low","2016","-9.8"
"Mexico","LFS - National Occupation and Employment Survey","Skill levels 3 and 4 ~ high","2015","8.1"
"Mexico","LFS - National Occupation and Employment Survey","Skill level 2 ~ medium","2015","9.3"
"Mexico","LFS - National Occupation and Employment Survey","Skill level 1 ~ low","2015","-9.6"
"Mexico","LFS - National Occupation and Employment Survey","Skill levels 3 and 4 ~ high","2014","9.2"
"Mexico","LFS - National Occupation and Employment Survey","Skill level 2 ~ medium","2014","9.3"
"Mexico","LFS - National Occupation and Employment Survey","Skill level 1 ~ low","2014","-8.7"
"Mexico","LFS - National Occupation and Employment Survey","Skill levels 3 and 4 ~ high","2013","8.6"
"Mexico","LFS - National Occupation and Employment Survey","Skill level 2 ~ medium","2013","8.9"
"Mexico","LFS - National Occupation and Employment Survey","Skill level 1 ~ low","2013","-7"
"Marshall Islands","HIES - Household Income and Expenditure Survey","Skill levels 3 and 4 ~ high","2019","-9.7"
"Marshall Islands","HIES - Household Income and Expenditure Survey","Skill level 2 ~ medium","2019","6"
"Marshall Islands","HIES - Household Income and Expenditure Survey","Skill level 1 ~ low","2019","20.2"
"Mali","LFS - Continous Household Employment Survey","Skill levels 3 and 4 ~ high","2020","32"
"Mali","LFS - Continous Household Employment Survey","Skill level 2 ~ medium","2020","-21.2"
"Mali","LFS - Continous Household Employment Survey","Skill level 1 ~ low","2020","71.7"
"Mali","LFS - Continous Household Employment Survey","Skill levels 3 and 4 ~ high","2018","25.4"
"Mali","LFS - Continous Household Employment Survey","Skill level 2 ~ medium","2018","67.9"
